airport_ident,csv_le_ident,csv_he_ident,norm_le_ident,norm_he_ident,reason,db_candidate_pairs,csv_le_latitude_deg,csv_le_longitude_deg,csv_he_latitude_deg,csv_he_longitude_deg,csv_le_elevation_ft,csv_he_elevation_ft
EGBK,31,13,31,13,no matching runway for airport,03L/21R; 03R/21L; 05/23; 15/33,52.3049821563807,-0.785994529724121,52.3106695149594,-0.795629024505615,116,128
EGBL,4,22,04,22,airport not found in runway table,,52.1361880614781,-1.75897121429443,52.1390722930518,-1.75509810447693,47,45
EGBM,7,25,07,25,no matching runway for airport,08/26,52.8125480393957,-1.77298307418823,52.8155114796626,-1.75662159919739,126,135
EGBM,3,21,03,21,no matching runway for airport,08/26,52.811166760791,-1.77129864692688,52.8151742931446,-1.7677903175354,125,132
EGBR,10,28,10,28,airport not found in runway table,,53.8034070754138,-0.922701358795166,53.8022982613579,-0.912272930145264,26,19
EGCA,10,28,10,28,no matching runway for airport,11/29,53.3053262934052,-1.43316864967346,53.3041851161446,-1.42404913902283,221,220
EGCB,8,26,08,26,no matching runway for airport,02/20; 08L/26R; 08R/26L; 14/32,53.4712279179741,-2.39413976669312,53.4718601358066,-2.38552451133728,26,22
EGCB,8,26,08,26,no matching runway for airport,02/20; 08L/26R; 08R/26L; 14/32,53.4714642025086,-2.39494442939758,53.4721091887306,-2.38616824150085,26,22
EGCB,1,19,01,19,no matching runway for airport,02/20; 08L/26R; 08R/26L; 14/32,53.4695994347318,-2.38973021507263,53.4737375756759,-2.38798141479492,23,24
EGCB,13,31,13,31,no matching runway for airport,02/20; 08L/26R; 08R/26L; 14/32,53.4736226327647,-2.38898992538452,53.4712534623115,-2.38489151000977,24,25
EGCJ,10,28,10,28,no matching runway for airport,01/19; 06/24; 11L/29R; 11R/29L,53.7850865575217,-1.22364764707527,53.7838351883102,-1.21480076764783,26,26
EGCJ,10,28,10,28,no matching runway for airport,01/19; 06/24; 11L/29R; 11R/29L,53.7856878863491,-1.2230122089386,53.7844522842457,-1.21412862217767,19,26
EGCL,0,18,00,18,no matching runway for airport,08/26; 18/36,52.7365774852687,-0.029987096786499,52.7421637736758,-0.029804706573486,6,6
EGDD,5,23,05,23,airport not found in runway table,,51.9140506164068,-1.13639831542969,51.9182330014672,-1.1280620098114,78,78
EGDD,12,30,12,30,airport not found in runway table,,51.9203769845239,-1.13414525985718,51.9174389076849,-1.12461805343628,81,77
EGDD,6,24,06,24,airport not found in runway table,,51.9131174678507,-1.13643050193787,51.9180344793383,-1.1241888999939,78,77
EGDJ,4,22,04,22,no matching runway for airport,05/23,51.2829507426261,-1.78678035736084,51.2897078370562,-1.77665233612061,152,176
EGDP,2,20,02,20,airport not found in runway table,,50.5670885894988,-2.44994044303894,50.5687445278047,-2.44881391525269,0,0
EGDV,13,31,13,31,airport not found in runway table,,51.5303659947245,-2.14870691299438,51.525259787402,-2.13849306106567,106,101
EGDV,4,22,04,22,airport not found in runway table,,51.5261208742689,-2.14270949363708,51.5332492470361,-2.13172316551208,102,92
EGDW,2,20,02,20,no matching runway for airport,03/21; 09/27; 16/34,50.9614406594474,-2.94196486473083,50.9711906871566,-2.93504476547241,37,34
EGEA,10,28,10,28,no matching runway for airport,10H/28H,57.119899375925,-2.32252478599548,57.1196663951659,-2.31927394866943,92,89
EGEH,1,19,01,19,airport not found in runway table,,60.3745501464799,-0.928076505661011,60.3783897008757,-0.92659592628479,191,183
EGEP,3,21,03,21,no matching runway for airport,04/22; 07/25; 18/36,59.349093349023,-2.90228962898254,59.352872649352,-2.89830923080444,24,26
EGES,2,20,02,20,no matching runway for airport,03/21; 11/29; 17/35,59.2481439135646,-2.57649779319763,59.251983812155,-2.57362246513367,12,14
EGES,10,28,10,28,no matching runway for airport,03/21; 11/29; 17/35,59.2513255745456,-2.57998466491699,59.2505411581279,-2.57288217544556,18,12
EGES,16,34,16,34,no matching runway for airport,03/21; 11/29; 17/35,59.2520386647153,-2.57651925086975,59.2487802695184,-2.57405161857605,16,13
EGET,1,19,01,19,no matching runway for airport,02/20,60.1889559977569,-1.24504923820496,60.1952598809144,-1.2420666217804,56,42
EGEW,8,26,08,26,no matching runway for airport,01/19; 09/27; 13/31; H/,59.3497661061984,-2.95415282249451,59.3502857062751,-2.94569849967957,19,3
EGEY,10,28,10,28,no matching runway for airport,11/29,56.0579064796955,-6.24692380428314,56.0571816228052,-6.23923122882843,22,10
EGFC,2,20,02,20,no matching runway for airport,H02/H20,51.4663201158476,-3.13817381858826,51.4686928003114,-3.13694000244141,10,10
EGFP,3,21,03,21,no matching runway for airport,04/22,51.7113353258123,-4.31490182876587,51.7167264041534,-4.30939793586731,9,13
EGHC,6,24,06,24,no matching runway for airport,02/20; 07/25; 12/30; 16/34,50.1015124514104,-5.67839741706848,50.1039072546991,-5.67064046859741,106,118
EGHC,11,29,11,29,no matching runway for airport,02/20; 07/25; 12/30; 16/34,50.1024139575046,-5.6744384765625,50.1012991154247,-5.6700611114502,118,117
EGHF,17,35,17,35,no matching runway for airport,05/23; 10/25; 16/34,50.8184626299759,-1.19962334632874,50.8126668586661,-1.19755268096924,13,19
EGHT,7,25,07,25,no matching runway for airport,08/26,49.9450202945278,-6.33420825004578,49.9458902216996,-6.32951974868774,16,22
EGHU,7,25,07,25,no matching runway for airport,08/26,50.9275597988262,-3.99330496788025,50.9294938083504,-3.98537635803223,190,200
EGHU,15,33,15,33,no matching runway for airport,08/26,50.9291692249546,-3.98882031440735,50.9267888775108,-3.98698568344116,195,191
EGHY,13,31,13,31,no matching runway for airport,14/32,50.2803586559996,-5.14546394348145,50.2771567661621,-5.1400887966156,123,117
EGKE,3,21,03,21,airport not found in runway table,,51.2065136985069,0.824800729751587,51.2114741042242,0.829607248306274,186,180
EGKE,3,21,03,21,airport not found in runway table,,51.2065136985069,0.824800729751587,51.2116690144059,0.829274654388428,186,180
EGKE,18,36,18,36,airport not found in runway table,,51.2117967137328,0.829263925552368,51.2048533891794,0.829381942749023,180,186
EGKH,11,29,11,29,no matching runway for airport,03/21; 10/28,51.157815575327,0.634567737579346,51.1552046945115,0.650478601455689,21,20
EGLA,2,20,02,20,no matching runway for airport,03/21; 13/31,50.4987833023378,-4.66696858406067,50.5028846816584,-4.66428637504578,190,190
EGMJ,2,20,02,20,no matching runway for airport,03/21; 10/28; 12/30,52.1633767050209,-0.151158571243286,52.1666342781571,-0.148798227310181,76,74
EGML,4,22,04,22,airport not found in runway table,,51.5249260284234,0.241634845733643,51.5306262958348,0.24794340133667,10,18
EGMT,7,25,07,25,no matching runway for airport,07L/25R,51.5364326259953,0.362184047698975,51.5387749702133,0.372591018676758,19,19
EGND,6,24,06,24,airport not found in runway table,,53.6203866719158,-1.83352589607239,53.6219011865149,-1.82947039604187,249,237
EGNG,16,34,16,34,no matching runway for airport,06/24,54.2126752335943,-1.29648327827454,54.2100212506483,-1.2943696975708,53,47
EGNP,9,27,09,27,airport not found in runway table,,53.878174767075,-1.66256189346313,53.8781115200991,-1.66116714477539,206,204
EGNU,3,21,03,21,no matching runway for airport,07/25; 16/34; 04/22,53.9772283911813,-0.867565870285034,53.9827300869898,-0.862104892730713,15,16
EGNW,15,33,15,33,no matching runway for airport,03/21; 16/34,53.3191205850849,-0.352013111114502,53.3153455458819,-0.348440408706665,23,25
EGPR,16,34,16,34,no matching runway for airport,07/25; 11/29; 15/33,57.025101050105,-7.4486768245697,57.0222279540893,-7.44714260101318,9,0
EGPW,11,29,11,29,airport not found in runway table,,60.7478372886562,-0.858821868896484,60.7457401439211,-0.848897695541382,0,0
EGPW,11,29,11,29,airport not found in runway table,,60.7478372886562,-0.858832597732544,60.7457191717817,-0.848865509033203,0,0
EGSD,9,27,09,27,no matching runway for airport,10/28; 18/36,52.6347428295715,1.71826601028442,52.6345279572534,1.72508955001831,-2,-1
EGSG,4,22,04,22,no matching runway for airport,03L/21R; 03R/21L; 10/28,51.6485627854467,0.151426792144775,51.6551527995099,0.15905499458313,57,33
EGSO,1,19,01,19,no matching runway for airport,13/31,52.1710694589784,1.10924363136292,52.1763200361986,1.1110782623291,58,56
EGSP,14,32,14,32,no matching runway for airport,06/24; 15/33,52.5585077158862,-0.389124155044556,52.555578967876,-0.385165214538574,30,34
EGSR,6,24,06,24,no matching runway for airport,06L/24R; 06R/24L,51.9126475771943,0.677783489227295,51.9160425920576,0.687503814697266,69,69
EGSR,6,24,06,24,no matching runway for airport,06L/24R; 06R/24L,51.9125483038913,0.67790150642395,51.9159234730744,0.687578916549683,69,69
EGSW,13,31,13,31,airport not found in runway table,,52.2377018140436,0.346187353134155,52.2333061328948,0.354695320129395,29,34
EGTH,3,21,03,21,no matching runway for airport,02/20,52.084688266998,-0.320148468017578,52.0888020016906,-0.317004919052124,36,31
EGTO,2,20,02,20,no matching runway for airport,02R/20L; 02L/20R; 16/34,51.3493646182636,0.502849817276001,51.3560918374199,0.507055521011353,126,121
EGUD,7,25,07,25,no matching runway for airport,08/26; 18/36,51.6895650549949,-1.32276892662048,51.6918263524344,-1.30981922149658,74,72
EGUD,17,35,17,35,no matching runway for airport,08/26; 18/36,51.6943469008445,-1.31731867790222,51.6803058591796,-1.31465792655945,79,64
EGUP,5,23,05,23,airport not found in runway table,,52.8389654582615,0.75032114982605,52.8528451806842,0.781370401382446,63,59
EGVP,8,26,08,26,no matching runway for airport,04H/22H; 09/27; 17/35,51.1458366072627,-1.57444596290588,51.1467654249715,-1.56034827232361,83,79
EGVT,22,4,22,04,airport not found in runway table,,51.9768842764501,0.519533157348633,51.9687415671868,0.510252714157105,95,99
EGVT,10,28,10,28,airport not found in runway table,,51.9748223016831,0.492528676986694,51.9732030562611,0.522183179855347,97,96
EGWE,8,26,08,26,no matching runway for airport,09L/27R; 09R/27L; 13/31; 02/20,52.0229895467465,-0.310814380645752,52.0243165166437,-0.294849872589111,52,42
EGYI,8,26,08,26,airport not found in runway table,,53.3102112131209,0.167756080627441,53.3113778697886,0.176392793655396,29,26
EGYO,5,23,05,23,airport not found in runway table,,53.4956923461023,0.057463645935059,53.4997705064875,0.066593885421753,9,9
EGZV,4,22,04,22,airport not found in runway table,,51.169037988448,-4.67236518859863,51.1721458718302,-4.66867446899414,136,134
FEA,1,19,01,19,airport not found in runway table,,60.6014063111033,-0.873316526412964,60.6054613356843,-0.872275829315185,0,0
GB-0005,9,27,09,27,airport not found in runway table,,54.8818963283788,-3.21430563926697,54.8821987508478,-3.19622755050659,10,26
GB-0007,7,25,07,25,no matching runway for airport,08L/26R; 08R/26L,51.9302618040922,-1.43443465232849,51.9321604458783,-1.42365217208862,168,168
GB-0008,15,33,15,33,no matching runway for airport,16/34,55.0615659335295,-6.58687233924866,55.0566993042261,-6.58264517784119,13,9
GB-0009,11,29,11,29,airport not found in runway table,,57.0748194562982,-2.84317374229431,57.0739796981241,-2.83742308616638,142,137
GB-0009,5,23,05,23,airport not found in runway table,,57.0735306529682,-2.84247636795044,57.0756533640094,-2.83716559410095,142,141
GB-0010,9,27,09,27,airport not found in runway table,,52.5581685390441,-0.623592138290405,52.5583968314379,-0.616918802261353,108,106
GB-0011,8,26,08,26,airport not found in runway table,,51.7053917648324,-2.13920116424561,51.7065353294044,-2.12538242340088,182,177
GB-0011,2,20,02,20,airport not found in runway table,,51.7022135673073,-2.134770154953,51.7138547876607,-2.12673425674438,181,182
GB-0013,5,23,05,23,airport not found in runway table,,52.1360892831167,-1.85406088829041,52.1401390163227,-1.84589624404907,38,42
GB-0014,6,24,06,24,airport not found in runway table,,54.2920213338195,-2.6977014541626,54.2942317362151,-2.69231557846069,98,99
GB-0015,10,28,10,28,no matching runway for airport,11/29,50.5927797429275,-4.15020346641541,50.5918330093681,-4.14252161979675,252,258
GB-0016,7,25,07,25,airport not found in runway table,,53.2688255742959,-3.36208462715149,53.2714819234606,-3.35076570510864,213,185
GB-0017,1,19,01,19,airport not found in runway table,,53.7413571572986,-1.08454585075378,53.7506013435304,-1.08243227005005,19,19
GB-0018,1,19,01,19,airport not found in runway table,,53.3011845719934,-1.7314624786377,53.3100381349654,-1.72967076301575,390,403
GB-0022,7,25,07,25,airport not found in runway table,,51.7128443607149,-2.29188323020935,51.7156628637497,-2.27687358856201,228,216
GB-0024,9,27,09,27,airport not found in runway table,,52.0856574021048,-2.14000582695007,52.0856771801531,-2.13243126869202,16,20
GB-0025,18,0,18,00,airport not found in runway table,,52.0856574021048,-2.14000582695007,50.7120925151281,-2.21981763839722,16,66
GB-0027,10,28,10,28,airport not found in runway table,,50.7247797069379,-2.63762533664703,50.724212584179,-2.63054966926575,205,215
GB-0029,4,22,04,22,airport not found in runway table,,50.8782492315074,-2.61996030807495,50.8813495949148,-2.61533617973328,87,76
GB-0030,6,24,06,24,no matching runway for airport,01/19; 07/25,52.8930402187263,-0.910019874572754,52.8978103796007,-0.895267724990845,34,35
GB-0030,0,18,00,18,no matching runway for airport,01/19; 07/25,52.8848708270957,-0.901962518692017,52.8977262429129,-0.900996923446655,38,34
GB-0032,8,26,08,26,airport not found in runway table,,51.1276872594819,-2.25439667701721,51.1299091874698,-2.23793864250183,221,209
GB-0033,9,27,09,27,no matching runway for airport,18/28,51.003824530325,-3.2475757598877,51.0039561808535,-3.23592960834503,77,54
GB-0034,17,35,17,35,no matching runway for airport,06/24,52.6721893635487,-1.52550101280212,52.668981939684,-1.52423501014709,100,105
GB-0035,0,18,00,18,no matching runway for airport,12/30; 18/36,51.5459213780189,-3.7173593044281,51.5487769582215,-3.71717691421509,38,45
GB-0036,17,35,17,35,airport not found in runway table,,52.7868510195038,-1.09699666500092,52.7838402022372,-1.09647631645203,111,108
GB-0037,6,24,06,24,airport not found in runway table,,51.3186507638058,-2.40418463945389,51.3210059750947,-2.39769637584686,158,155
GB-0038,1,19,01,19,no matching runway for airport,01L/19R; 01R/19L; 08/26,55.2740994364334,-1.72256425023079,55.279315424189,-1.72116279602051,60,60
