airport_ident,csv_le_ident,csv_he_ident,norm_le_ident,norm_he_ident,reason,db_candidate_pairs,csv_le_latitude_deg,csv_le_longitude_deg,csv_he_latitude_deg,csv_he_longitude_deg,csv_le_elevation_ft,csv_he_elevation_ft
GB-0184,3,21,03,21,airport not found in runway table,,52.9464980979534,1.12255811691284,52.9489578741327,1.12497746944428,21,22
GB-0186,12,30,12,30,airport not found in runway table,,55.1395355382031,-6.97216629981995,55.1380208100948,-6.9676548242569,6,9
GB-0186,9,27,09,27,airport not found in runway table,,55.1393607648167,-6.97186052799225,55.1395110086512,-6.96480095386505,6,9
GB-0187,4,22,04,22,airport not found in runway table,,51.9093714423158,0.586990714073181,51.9143782065138,0.592693090438843,76,79
GB-0188,15,33,15,33,airport not found in runway table,,52.7821497706264,-0.529468059539795,52.7790153225258,-0.526120662689209,88,78
GB-0189,11,29,11,29,airport not found in runway table,,53.1182740026372,-0.894216299057007,53.1172759346718,-0.888776779174805,55,48
GB-0189,3,21,03,21,airport not found in runway table,,53.1182353681793,-0.893368721008301,53.1215384889075,-0.890021324157715,53,45
GB-0190,9,27,09,27,airport not found in runway table,,52.0684537740086,0.731878280639648,52.0681503926079,0.738712549209595,57,68
GB-0191,9,27,09,27,airport not found in runway table,,52.1293652544473,-4.37012046575546,52.1296402285079,-4.36269879341126,285,279
GB-0192,7,25,07,25,airport not found in runway table,,52.5024166193084,-2.56617665290833,52.5044476955218,-2.55890250205994,214,190
GB-0193,11,29,11,29,airport not found in runway table,,51.2650903188433,-1.46619200706482,51.2634589758879,-1.4572548866272,171,180
GB-0194,10,28,10,28,airport not found in runway table,,52.7242786324463,0.51935076713562,52.723700312558,0.528470277786255,14,15
GB-0195,16,34,16,34,airport not found in runway table,,52.2157256283484,-0.703178644180298,52.2110187871411,-0.699799060821533,84,90
GB-0196,9,27,09,27,airport not found in runway table,,52.5193023926866,-2.88013458251953,52.5193415632712,-2.87386894226074,422,416
GB-0196,1,19,01,19,airport not found in runway table,,52.5148954789534,-2.88012385368347,52.5175984384559,-2.87930846214294,419,427
GB-0196,3,21,03,21,airport not found in runway table,,52.5142360360662,-2.87944793701172,52.5194003190826,-2.87534952163696,427,421
GB-0196,1,19,01,19,airport not found in runway table,,52.5104358852209,-2.88008093833923,52.514098922936,-2.87882566452026,433,430
GB-0196,7,25,07,25,airport not found in runway table,,52.5137398150912,-2.8778600692749,52.5149542407107,-2.8734290599823,430,428
GB-0197,11,29,11,29,airport not found in runway table,,51.8831736262082,-0.612026453018189,51.8816735922623,-0.6045001745224,90,90
GB-0199,9,27,09,27,airport not found in runway table,,52.70667867909,-1.75732433795929,52.7068574439954,-1.75021111965179,59,58
GB-0199,17,35,17,35,airport not found in runway table,,52.7069517015598,-1.75013601779938,52.7032137455436,-1.74865543842316,58,56
GB-0202,12,30,12,30,no matching runway for airport,13/31,57.3121050806228,-2.65243649482727,57.3099118945262,-2.64475464820862,162,158
GB-0203,15,33,15,33,no matching runway for airport,03/21; 15L/33R; 15R/33L,51.1100629118262,-2.91645169258118,51.1058460797809,-2.91292190551758,26,10
GB-0203,8,26,08,26,no matching runway for airport,03/21; 15L/33R; 15R/33L,51.1062098472283,-2.91298627853394,51.1069171646252,-2.90617346763611,10,10
GB-0205,1,19,01,19,airport not found in runway table,,53.0584198325414,-3.32454442977905,53.0680521196375,-3.32139015197754,106,101
GB-0206,16,34,16,34,airport not found in runway table,,52.8148306195789,0.111767649650574,52.8131154533344,0.112743973731995,13,9
GB-0206,8,26,08,26,airport not found in runway table,,52.8145598936774,0.111955404281616,52.8149911089878,0.114688575267792,9,9
GB-0206,3,21,03,21,airport not found in runway table,,52.8130651969702,0.112947821617126,52.8150721640197,0.114672482013702,9,9
GB-0208,6,24,06,24,no matching runway for airport,04/22,52.0048965778589,-0.938783884048462,52.0072213396659,-0.931187868118286,84,87
GB-0209,13,31,13,31,airport not found in runway table,,50.9034100327807,-3.10013741254807,50.9014055853014,-3.09638768434525,234,237
GB-0209,7,25,07,25,airport not found in runway table,,50.9019857844586,-3.10109227895737,50.9033051608748,-3.09580564498901,236,237
GB-0209,5,23,05,23,airport not found in runway table,,50.9013599133406,-3.09897869825363,50.9038413582972,-3.09482395648956,237,237
GB-0210,8,26,08,26,airport not found in runway table,,52.6428486052078,-1.47505402565002,52.6433108170228,-1.46890640258789,93,101
GB-0211,8,26,08,26,airport not found in runway table,,52.3137523220608,-0.365917682647705,52.3149919435365,-0.357184410095215,70,60
GB-0212,3,21,03,21,airport not found in runway table,,52.0959424522655,0.01560240983963,52.0981949259421,0.017453134059906,25,21
GB-0213,9,27,09,27,airport not found in runway table,,51.9030369038322,-1.07947111129761,51.9032884490387,-1.07301235198975,68,70
GB-0214,8,26,08,26,airport not found in runway table,,53.0097742137283,-1.06147885322571,53.0109490646893,-1.05330348014832,96,89
GB-0215,0,18,00,18,airport not found in runway table,,52.6284101647709,0.063906311988831,52.6335903202431,0.064576864242554,6,6
GB-0216,0,18,00,18,airport not found in runway table,,53.2173085598236,0.270087718963623,53.2210151804124,0.27040958404541,0,3
GB-0216,7,25,07,25,airport not found in runway table,,53.2187604113004,0.270076990127563,53.2197818171425,0.273735523223877,3,6
GB-0217,7,25,07,25,airport not found in runway table,,51.3404649464542,-2.52671599388123,51.3424152483048,-2.51859426498413,184,176
GB-0219,9,27,09,27,airport not found in runway table,,51.8852663051716,0.516314506530762,51.8856702604619,0.527451038360596,56,74
GB-0220,5,23,05,23,airport not found in runway table,,51.8371365548596,-2.59350299835205,51.838883351035,-2.58991420269012,169,174
GB-0220,1,19,01,19,airport not found in runway table,,51.8369840798714,-2.59215116500854,51.8407063108285,-2.59084761142731,169,161
GB-0221,3,21,03,21,airport not found in runway table,,51.6032121741131,-1.67595148086548,51.605964207611,-1.67321562767029,104,108
GB-0222,9,27,09,27,airport not found in runway table,,52.2593190740172,-0.659887790679932,52.2596868244346,-0.651766061782837,96,87
GB-0223,5,23,05,23,no matching runway for airport,06/24,51.1064793027511,1.04737043380737,51.1116121304707,1.05878591537476,79,94
GB-0224,4,22,04,22,airport not found in runway table,,53.0031118166434,-1.6595470905304,53.0066690965231,-1.65408611297607,177,196
GB-0225,8,26,08,26,airport not found in runway table,,50.9570751190212,-3.53294134140015,50.9576123864536,-3.52716386318207,232,224
GB-0226,3,21,03,21,airport not found in runway table,,52.6102471025679,-4.07666802406311,52.6142861613316,-4.07326698303223,29,10
GB-0227,9,27,09,27,airport not found in runway table,,53.5343074446094,-0.688608884811401,53.5340141204125,-0.681055784225464,6,16
GB-0228,10,28,10,28,airport not found in runway table,,53.8408930693576,-0.97578227519989,53.8397472638463,-0.967826843261719,11,26
GB-0231,6,24,06,24,airport not found in runway table,,51.9992889139939,-2.36103057861328,52.0023471263756,-2.35249042510986,49,57
GB-0232,5,23,05,23,airport not found in runway table,,52.330900615721,-1.99637889862061,52.3328724073241,-1.99186474084854,140,139
GB-0233,2,20,02,20,no matching runway for airport,10/28,51.1751459241935,0.42797863483429,51.1792387301442,0.430322885513306,16,15
GB-0234,11,29,11,29,airport not found in runway table,,51.1916561712164,0.407674312591553,51.1899448948946,0.417823791503906,12,13
GB-0234,2,20,02,20,airport not found in runway table,,51.1908291182962,0.410206317901611,51.1947154656068,0.412555932998657,13,12
GB-0235,2,20,02,20,airport not found in runway table,,51.847629571008,-0.005600452423096,51.8531170474939,-0.001845359802246,92,92
GB-0236,5,23,05,23,airport not found in runway table,,56.1422082826043,-2.74339556694031,56.2705194756163,-2.74710774421692,122,116
GB-0237,8,26,08,26,airport not found in runway table,,52.3568759752914,-1.62452012300491,52.3578850554572,-1.61748200654984,103,100
GB-0238,6,24,06,24,airport not found in runway table,,54.9867438207154,-6.64709329605103,54.9884366412215,-6.64097785949707,51,47
GB-0239,10,28,10,28,airport not found in runway table,,57.3193616527879,-2.25683212280273,57.3187997179311,-2.243732213974,120,115
GB-0239,18,36,18,36,airport not found in runway table,,57.3217541246299,-2.24896788597107,57.3157755498463,-2.24884986877441,112,111
GB-0240,12,30,12,30,airport not found in runway table,,53.3150507070315,-0.86916446685791,53.3132111229933,-0.8634352684021,69,68
GB-0241,16,34,16,34,airport not found in runway table,,50.7789049126061,-3.90625655651093,50.7743288811116,-3.90399277210236,129,149
GB-0242,4,22,04,22,no matching runway for airport,05/23,51.993033129081,0.066905021667481,51.9974988050573,0.073835849761963,141,140
GB-0243,5,23,05,23,airport not found in runway table,,53.8656626531818,-0.843340158462524,53.8708944119561,-0.832514762878418,22,29
GB-0245,11,29,11,29,airport not found in runway table,,54.7674612993006,-1.38763546943665,54.7655611010062,-1.37999653816223,143,144
GB-0245,11,29,11,29,airport not found in runway table,,54.7680369117944,-1.38938426971436,54.7657653611289,-1.3798999786377,143,144
GB-0246,1,19,01,19,airport not found in runway table,,52.62550887958,-1.41903877258301,52.6290906852992,-1.41761183738709,98,99
GB-0246,11,29,11,29,airport not found in runway table,,52.6298330592605,-1.42083048820496,52.6286739084325,-1.41630291938782,100,103
GB-0248,5,23,05,23,no matching runway for airport,06/24,53.9458447458991,-1.18722081184387,53.953787571187,-1.17178201675415,20,15
GB-0248,17,35,17,35,no matching runway for airport,06/24,53.9525943498012,-1.18878722190857,53.9419674916621,-1.18555784225464,18,19
GB-0249,3,21,03,21,no matching runway for airport,04/22; 13/31,52.1649035164656,1.25731229782105,52.1705759518161,1.26291275024414,57,47
GB-0249,14,32,14,32,no matching runway for airport,04/22; 13/31,52.1702074628985,1.2589430809021,52.1678187910821,1.2628698348999,52,47
GB-0250,5,23,05,23,airport not found in runway table,,52.650145773616,-0.575087070465088,52.6545260935542,-0.566504001617432,89,79
GB-0252,4,22,04,22,airport not found in runway table,,52.7075757465049,-0.141513347625732,52.7115863223705,-0.135709047317505,0,6
GB-0253,17,35,17,35,airport not found in runway table,,52.9155078122359,0.951755046844482,52.9096590767862,0.95380425453186,28,34
GB-0254,4,22,04,22,airport not found in runway table,,51.05474201141,-2.23740220069885,51.059226491726,-2.23041772842407,80,86
GB-0255,18,36,18,36,airport not found in runway table,,50.9455646153951,-4.38677966594696,50.9420662904443,-4.38640415668488,158,147
GB-0256,9,27,09,27,airport not found in runway table,,52.734784524666,0.958224534988403,52.7346237392698,0.966222882270813,36,38
GB-0257,9,27,09,27,airport not found in runway table,,51.989075745169,0.653289556503296,51.9889502130784,0.662505626678467,79,84
GB-0258,2,20,02,20,airport not found in runway table,,51.1851502931501,1.15234673023224,51.1890707410143,1.1542671918869,128,122
GB-0259,8,26,08,26,airport not found in runway table,,51.5986539599677,-2.08385109901428,51.6003666759603,-2.07292914390564,86,92
GB-0259,1,19,01,19,airport not found in runway table,,51.5952616586508,-2.07929134368896,51.6019127298648,-2.07654476165771,80,93
GB-0260,16,34,16,34,airport not found in runway table,,54.2538121041865,-1.29610776901245,54.2501578501505,-1.29321098327637,70,72
GB-0261,6,24,06,24,airport not found in runway table,,52.1212041739335,-0.122437477111816,52.1248402878722,-0.112384557723999,63,63
GB-0262,8,26,08,26,airport not found in runway table,,53.0767412505492,-0.515906810760498,53.0777595947188,-0.508332252502441,73,70
GB-0263,11,29,11,29,airport not found in runway table,,52.8077879553798,-2.51406669616699,52.8058357811329,-2.50586986541748,63,65
GB-0264,17,35,17,35,airport not found in runway table,,52.4913583430135,1.21525526046753,52.4852172841329,1.21735811233521,48,50
GB-0265,6,24,06,24,airport not found in runway table,,51.1244888421294,-2.59959697723389,51.126239582222,-2.59389996528625,53,58
GB-0266,7,25,07,25,airport not found in runway table,,51.8879780337753,-1.82187438011169,51.8896897489169,-1.81226670742035,218,203
GB-0267,7,25,07,25,airport not found in runway table,,51.7445091786378,-4.96813774108887,51.7459838927757,-4.96023058891296,57,67
GB-0268,16,34,16,34,airport not found in runway table,,50.8459471573868,-4.16848540306091,50.8402157736674,-4.16591048240662,115,93
GB-0269,36,18,36,18,airport not found in runway table,,53.5341033932092,-3.03294539451599,53.5371704371256,-3.03292393684387,22,13
GB-0269,11,29,11,29,airport not found in runway table,,53.5371640609653,-3.03292393684387,53.5363160230994,-3.02794575691223,13,13
GB-0269,7,25,07,25,airport not found in runway table,,53.5351746520901,-3.03251624107361,53.5360864760944,-3.02809596061707,22,13
GB-0270,1,19,01,19,airport not found in runway table,,52.3342901416433,0.182433128356934,52.3399933997327,0.183570384979248,6,19
GB-0271,9,27,09,27,airport not found in runway table,,52.3305137867724,0.263983011245728,52.3306973670341,0.271954536437988,9,16
GB-0272,8,26,08,26,airport not found in runway table,,52.0193055135109,-0.172015428543091,52.0204675352469,-0.164086818695068,63,64
GB-0273,7,25,07,25,airport not found in runway table,,53.7709478812289,-0.58053731918335,53.7735158673904,-0.571321249008179,135,151
GB-0274,6,24,06,24,airport not found in runway table,,52.2402969669865,-0.372108221054077,52.2462028379771,-0.354148149490356,70,60
GB-0275,10,28,10,28,airport not found in runway table,,51.3311881481003,-1.93485975265503,51.3305244901467,-1.92405581474304,108,107
GB-0276,14,32,14,32,airport not found in runway table,,52.7379189093747,-2.60472536087036,52.7331701474091,-2.59817004203796,52,53
GB-0277,7,25,07,25,airport not found in runway table,,53.3210175924759,-0.681227445602417,53.3221839538052,-0.675390958786011,21,22
GB-0278,9,27,09,27,airport not found in runway table,,52.125367236294,-1.17495775222778,52.1256372949451,-1.16396069526672,154,150
GB-0279,7,25,07,25,no matching runway for airport,08/26,52.5766954936655,-1.44326448440552,52.5779733758297,-1.43647313117981,88,86
GB-0280,3,21,03,21,airport not found in runway table,,52.5019725129713,-0.593916177749634,52.5107493121573,-0.584120750427246,102,102
GB-0281,7,25,07,25,airport not found in runway table,,52.4640305852812,-0.581867694854736,52.4666124838776,-0.566782951354981,93,84
GB-0282,10,28,10,28,airport not found in runway table,,52.2379252002658,-1.14426255226135,52.237143343569,-1.13888740539551,184,169
GB-0283,6,24,06,24,airport not found in runway table,,52.4201838392428,0.371561050415039,52.4252283212821,0.383357405662537,-4,0
GB-0284,0,18,00,18,airport not found in runway table,,53.4905541991644,-0.81472635269165,53.4944477589494,-0.814415216445923,26,29
GB-0284,9,27,09,27,airport not found in runway table,,53.4931776041425,-0.81474781036377,53.493158455789,-0.811464786529541,12,26
GB-0285,7,25,07,25,airport not found in runway table,,57.4055977433331,-1.91707134246826,57.4077043106385,-1.90635323524475,73,79
GB-0286,10,28,10,28,airport not found in runway table,,57.5171538864293,-1.86856627464294,57.5165200730147,-1.86064839363098,50,47
GB-0288,8,26,08,26,airport not found in runway table,,54.8974280322683,-4.93821501731873,54.8986495809005,-4.92922425270081,25,26
GB-0289,1,19,01,19,airport not found in runway table,,53.5068983674483,-0.941112041473389,53.5117091555871,-0.939406156539917,6,3
GB-0290,17,35,17,35,airport not found in runway table,,53.7941935243267,-1.35673642158508,53.7908472495931,-1.3558566570282,83,80
GB-0291,6,24,06,24,airport not found in runway table,,55.5389462802446,-2.74549841880798,55.5411013793398,-2.73923277854919,187,186
GB-0291,5,23,05,23,airport not found in runway table,,55.5388795006394,-2.74523019790649,55.5416477237217,-2.73977994918823,187,185
GB-0292,8,26,08,26,airport not found in runway table,,52.0692781695784,0.85418701171875,52.070181689641,0.859551429748535,74,71
GB-0293,16,34,16,34,airport not found in runway table,,52.3633559655884,-2.54688620567322,52.3595558842884,-2.54487991333008,152,134
GB-0294,5,23,05,23,airport not found in runway table,,52.4342591847522,-0.148454904556274,52.4399822437528,-0.137189626693726,24,22
GB-0295,7,25,07,25,airport not found in runway table,,50.9146891493453,-2.18733072280884,50.9160419861886,-2.18102216720581,146,137
GB-0296,5,23,05,23,airport not found in runway table,,56.3667120046495,-3.87500882148743,56.3689403537763,-3.86951565742493,88,67
GB-0297,9,27,09,27,airport not found in runway table,,50.365113168878,-3.7103533744812,50.3652500456753,-3.70386242866516,188,194
GB-0298,3,21,03,21,airport not found in runway table,,52.1571109647054,-1.55134677886963,52.1633898674123,-1.5450382232666,100,113
GB-0300,14,32,14,32,airport not found in runway table,,51.9763555740182,0.847073793411255,51.9726809197503,0.851590633392334,57,26
GB-0300,13,31,13,31,airport not found in runway table,,51.9763159210842,0.84694504737854,51.9740886916197,0.851730108261108,57,45
GB-0304,1,19,01,19,airport not found in runway table,,51.3615820973992,-2.09106087684631,51.3656750783993,-2.09045469760895,46,46
GB-0306,10,28,10,28,airport not found in runway table,,53.3690491245563,-2.48021721839905,53.3685370054091,-2.47288942337036,46,50
GB-0308,4,22,04,22,airport not found in runway table,,52.6912566374752,-1.78664088249207,52.6937406564633,-1.78306818008423,72,64
GB-0309,11,29,11,29,airport not found in runway table,,53.4789320317169,-2.62570559978485,53.4769590434067,-2.61650562286377,44,43
GB-0311,34,16,34,16,airport not found in runway table,,51.9022226820577,-0.246838331222534,51.9057376313675,-0.24918794631958,92,92
GB-0314,16,34,16,34,airport not found in runway table,,52.7107478369885,-2.09292769432068,52.7081022774856,-2.09109306335449,105,104
GB-0314,11,29,11,29,airport not found in runway table,,52.7101043372783,-2.0935070514679,52.7095388296981,-2.08999872207642,103,106
GB-0314,6,24,06,24,airport not found in runway table,,52.7088108091483,-2.09427952766418,52.7102213379315,-2.08955883979797,102,108
GB-0315,5,23,05,23,airport not found in runway table,,55.8720259194417,-3.40199187397957,55.8756388606299,-3.39431270956993,208,198
GB-0315,11,29,11,29,airport not found in runway table,,55.8784585569917,-3.4063196182251,55.8757629977831,-3.39520052075386,188,198
GB-0315,17,35,17,35,airport not found in runway table,,55.8789279849539,-3.40069770812988,55.8726082862902,-3.39897036552429,190,204
GB-0316,9,27,09,27,no matching runway for airport,08/26,51.656044707595,0.417158603668213,51.6563641927885,0.42373538017273,52,60
GB-0317,15,33,15,33,airport not found in runway table,,51.7968785018232,-2.99672484397888,51.7922733951263,-2.99173593521118,62,59
GB-0318,1,19,01,19,airport not found in runway table,,51.9879063010108,-2.78241634368896,51.9921412617333,-2.7809464931488,87,86
GB-0319,7,25,07,25,airport not found in runway table,,56.0426516592343,-2.80635237693787,56.0443715734631,-2.79776930809021,34,29
GB-0321,16,34,16,34,airport not found in runway table,,54.3715273482828,-6.59249424934387,54.3691148406155,-6.5912389755249,80,71
GB-0323,6,24,06,24,airport not found in runway table,,52.4838190934585,-0.620867013931274,52.4856223591095,-0.615878105163574,108,109
GB-0324,6,24,06,24,no matching runway for airport,07/25,52.569170881165,-1.6122168302536,52.5702957428459,-1.60902500152588,129,129
GB-0325,10,28,10,28,airport not found in runway table,,53.1597473702754,-0.729475021362305,53.1589432552604,-0.722726583480835,12,12
GB-0326,5,23,05,23,airport not found in runway table,,50.9775139352624,-4.09805059432983,50.978682560993,-4.09560441970825,200,207
GB-0327,5,23,05,23,airport not found in runway table,,51.8817365085991,-0.125892162322998,51.8840345502355,-0.121246576309204,114,110
GB-0328,17,35,17,35,airport not found in runway table,,50.7235996084481,-1.20521306991577,50.7204412130405,-1.20465517044067,43,44
GB-0329,12,30,12,30,airport not found in runway table,,56.7648322082941,-3.82891774177551,56.7626741035895,-3.82300615310669,153,157
GB-0330,8,26,08,26,airport not found in runway table,,52.590404703585,0.513879060745239,52.591219428897,0.519189834594727,30,24
GB-0330,15,33,15,33,airport not found in runway table,,52.5924251945599,0.515799522399902,52.5893879051472,0.518213510513306,18,28
GB-0331,11,29,11,29,airport not found in runway table,,52.5855486265462,0.510102510452271,52.5830063045305,0.520327091217041,24,12
GB-0332,7,25,07,25,airport not found in runway table,,50.9833500155047,-1.99152946472168,50.984896723976,-1.98593974113464,167,153
GB-0332,1,19,01,19,airport not found in runway table,,50.9817154466186,-1.99270963668823,50.9855991422484,-1.99177622795105,159,185
GB-0333,10,28,10,28,airport not found in runway table,,51.6291199914642,-2.24854946136475,51.628607174841,-2.23838925361633,185,175
GB-0333,5,23,05,23,airport not found in runway table,,51.6271619331685,-2.24000930786133,51.6306317677737,-2.23414063453674,176,168
GB-0334,18,36,18,36,airport not found in runway table,,52.7041173851249,-3.09232950210571,52.700054110433,-3.09210419654846,64,66
GB-0335,6,24,06,24,airport not found in runway table,,54.1187662590098,-0.241377353668213,54.1219542771264,-0.233405828475952,93,94
GB-0337,2,20,02,20,airport not found in runway table,,51.790926279343,-1.83792471885681,51.7980861032682,-1.83277487754822,160,166
GB-0339,11,29,11,29,airport not found in runway table,,53.8865162047311,-2.62649953365326,53.8832848065818,-2.6142954826355,192,177
GB-0340,14,32,14,32,airport not found in runway table,,54.7008392596275,-2.58848190307617,54.6953026288105,-2.57964134216309,178,183
GB-0341,9,27,09,27,airport not found in runway table,,53.7967854362346,-0.095486640930176,53.7965636407492,-0.087364912033081,11,12
GB-0347,4,22,04,22,airport not found in runway table,,51.1690884427728,-4.67265486717224,51.1723510385795,-4.66863691806793,136,134
GB-0353,18,36,18,36,airport not found in runway table,,53.0081797219848,-0.690346956253052,53.0048485289237,-0.690207481384277,24,26
GB-0354,11,29,11,29,airport not found in runway table,,52.7331993821364,-1.58591508865356,52.732075455176,-1.5796172618866,116,107
GB-0355,13,31,13,31,airport not found in runway table,,54.8500474939654,-6.2101212143898,54.8473543247127,-6.20361149311066,142,157
GB-0356,9,27,09,27,airport not found in runway table,,51.0598805826334,-0.596576929092407,51.0601300787922,-0.590547323226929,44,42
GB-0358,12,30,12,30,airport not found in runway table,,52.1504098588512,-1.61996841430664,52.1485072982107,-1.61406755447388,89,90
GB-0359,9,27,09,27,airport not found in runway table,,52.8045061770673,-2.995845079422,52.8043180834535,-2.98594236373901,87,79
GB-0360,13,31,13,31,airport not found in runway table,,52.9200426264892,-1.7394232749939,52.9182313453723,-1.73581838607788,85,87
GB-0361,10,28,10,28,airport not found in runway table,,53.7864738745423,-1.00439071655273,53.7853899676212,-0.99576473236084,26,26
GB-0362,11,29,11,29,airport not found in runway table,,55.1589842594166,-6.79454505443573,55.1576219775699,-6.7886683344841,36,32
GB-0363,4,22,04,22,airport not found in runway table,,52.2884866532827,0.367430448532104,52.2916825626909,0.371764898300171,26,19
GB-0366,5,23,05,23,airport not found in runway table,,51.4434491342353,0.629342794418335,51.4460236111563,0.63470721244812,6,9
GB-0367,1,19,01,19,airport not found in runway table,,52.4851650161223,0.089017152786255,52.4904176406716,0.090025663375855,3,3
GB-0367,6,24,06,24,airport not found in runway table,,52.4878306054795,0.086570978164673,52.4895422468073,0.091581344604492,3,3
GB-0367,3,21,03,21,airport not found in runway table,,52.4871119575871,0.087622404098511,52.4902151257298,0.090819597244263,0,3
GB-0368,35,17,35,17,no matching runway for airport,09/27,52.1266253004539,-0.30961275100708,52.1296221164962,-0.310320854187012,23,22
GB-0368,2,20,02,20,no matching runway for airport,09/27,52.126789965909,-0.309644937515259,52.1298065293617,-0.30811071395874,23,21
GB-0369,1,19,01,19,no matching runway for airport,02/20,52.9680850513004,-1.74939572811127,52.9732152147685,-1.74820482730865,177,178
GB-0370,1,19,01,19,airport not found in runway table,,54.0490528114565,-6.02995991706848,54.0556030660645,-6.02886557579041,20,23
GB-0371,9,27,09,27,airport not found in runway table,,52.8655093086232,-0.308561325073242,52.865554646687,-0.304784774780273,9,13
GB-0372,10,28,10,28,airport not found in runway table,,52.6681914329335,-2.40389227867126,52.6677555095134,-2.39766955375671,128,125
GB-0372,18,36,18,36,airport not found in runway table,,52.6691088098061,-2.40203619003296,52.6658881465476,-2.40166068077087,123,129
GB-0374,15,33,15,33,airport not found in runway table,,57.6670171611306,-3.19211840629578,57.6617663296433,-3.18662524223328,31,27
GB-0375,16,34,16,34,airport not found in runway table,,54.9465815069424,-3.74052822589874,54.9430782580456,-3.7377655506134,197,194
GB-0376,8,26,08,26,no matching runway for airport,02/20; 06/24,54.2265070644401,-1.21667146682739,54.2275544565453,-1.20935440063477,244,283
GB-0377,16,34,16,34,airport not found in runway table,,51.988606649768,-1.20951533317566,51.9864328900373,-1.20820641517639,124,134
GB-0377,9,27,09,27,airport not found in runway table,,51.9864791413429,-1.20819568634033,51.9865848584335,-1.20490193367004,134,134
GB-0378,7,25,07,25,airport not found in runway table,,51.5682141587189,0.793826580047607,51.5691844669457,0.797420740127564,6,6
GB-0378,18,36,18,36,airport not found in runway table,,51.5718285351137,0.794534683227539,51.5683942174805,0.794684886932373,9,6
GB-0379,8,26,08,26,airport not found in runway table,,55.8741973358968,-3.45638036727905,55.8753349110155,-3.44884872436523,194,185
GB-0380,6,24,06,24,airport not found in runway table,,50.8496593091843,-3.28281998634338,50.8534795365228,-3.2715117931366,276,274
GB-0381,2,20,02,20,airport not found in runway table,,51.2910631622999,-1.2490725517273,51.2940219264313,-1.24692678451538,174,193
GB-0383,5,23,05,23,airport not found in runway table,,53.0407389183325,-3.22723388671875,53.0456766316104,-3.21793735027313,351,335
GB-0383,7,25,07,25,airport not found in runway table,,53.0450251825604,-3.22578549385071,53.0464119187101,-3.22080731391907,335,329
GB-0384,12,30,12,30,airport not found in runway table,,51.3056739797324,-0.100604295730591,51.3023805788704,-0.092546939849854,165,171
GB-0384,2,20,02,20,airport not found in runway table,,51.3018640770539,-0.096259117126465,51.3101005820792,-0.09063720703125,172,166
GB-0385,4,22,04,22,airport not found in runway table,,52.8173854109139,-1.90367102622986,52.822060160546,-1.89782381057739,125,128
GB-0387,14,32,14,32,airport not found in runway table,,53.7168759404427,0.047383904457092,53.7142441705601,0.051814913749695,10,10
GB-0387,17,35,17,35,airport not found in runway table,,53.7158759507763,0.049599409103394,53.7140568609989,0.050259232521057,10,10
GB-0389,5,23,05,23,airport not found in runway table,,52.3861233978541,0.056980848312378,52.3886247416643,0.06243109703064,6,6
GB-0389,10,28,10,28,airport not found in runway table,,52.3863001990611,0.057388544082642,52.3856191831155,0.063589811325073,6,6
GB-0389,1,19,01,19,airport not found in runway table,,52.384211280304,0.06217360496521,52.3886574808267,0.063149929046631,9,6
GB-0390,7,25,07,25,airport not found in runway table,,51.7910656380141,-0.278059244155884,51.7926383703074,-0.272233486175537,116,118
GB-0391,13,31,13,31,airport not found in runway table,,53.9288364578676,-0.801186561584473,53.9235993136083,-0.790200233459473,26,27
GB-0391,0,18,00,18,airport not found in runway table,,53.9215586078579,-0.794470310211181,53.9309589251035,-0.794245004653931,24,27
GB-0392,11,29,11,29,airport not found in runway table,,51.7202558496244,-2.85272240638733,51.7184014295701,-2.84312009811401,24,25
GB-0393,5,23,05,23,no matching runway for airport,06/24,54.930526295209,-1.85243010520935,54.936209525349,-1.8387508392334,253,215
GB-0394,6,24,06,24,airport not found in runway table,,52.8594724461857,0.900267362594605,52.8626982561414,0.91086745262146,53,56
GB-0395,9,27,09,27,airport not found in runway table,,52.2719850058706,-0.077043771743775,52.2715123144756,-0.064759254455566,19,17
GB-0395,17,35,17,35,airport not found in runway table,,52.2756284995326,-0.070499181747437,52.2717486608032,-0.068932771682739,18,17
GB-0397,5,23,05,23,airport not found in runway table,,51.1354096825952,-1.42176389694214,51.1378197298256,-1.41695737838745,97,88
GB-0398,13,31,13,31,airport not found in runway table,,53.8524506575211,-2.79453992843628,53.8505457106545,-2.79107451438904,29,10
GB-0398,17,35,17,35,airport not found in runway table,,53.8527987281449,-2.79416441917419,53.849102703159,-2.793048620224,29,29
GB-0398,3,21,03,21,airport not found in runway table,,53.851260866985,-2.79467940330505,53.8544820833992,-2.79169678688049,10,29
GB-0399,9,27,09,27,airport not found in runway table,,51.5683008537672,-2.38890409469604,51.5682008210044,-2.38404393196106,100,100
GB-0400,5,23,05,23,airport not found in runway table,,58.8859950170334,-2.89573431015015,58.8894765031542,-2.88779497146606,17,16
GB-0400,14,32,14,32,airport not found in runway table,,58.8888778011981,-2.8939425945282,58.8865715930923,-2.89016604423523,10,14
GB-0401,1,19,01,19,airport not found in runway table,,51.9386231643547,-0.204008817672729,51.9420228288476,-0.202946662902832,102,102
GB-0402,8,26,08,26,airport not found in runway table,,57.5888764142136,-4.47043776512146,57.589980504288,-4.46172595024109,182,177
