airport_ref,airport_ident,length_ft,width_ft,surface,lighted,closed,le_ident,le_latitude_deg,le_longitude_deg,le_elevation_ft,le_heading_degT,le_displaced_threshold_ft,he_ident,he_latitude_deg,he_longitude_deg,he_elevation_ft,he_heading_degT,he_displaced_threshold_ft,name
320198,GB-0378,888,0,GRS,0,0,7,51.5682141587189,0.793826580047607,6,67,0,25,51.5691844669457,0.797420740127564,6,247,0,Barling Airfield
320198,GB-0378,1253,0,GRS,0,0,18,51.5718285351137,0.794534683227539,9,178,0,36,51.5683942174805,0.794684886932373,6,358,0,Barling Airfield
320200,GB-0379,1596,0,GRS,0,0,8,55.8741973358968,-3.45638036727905,194,75,0,26,55.8753349110155,-3.44884872436523,185,255,0,Latch Farm Airstrip
320253,GB-0380,2953,0,GRS,0,0,6,50.8496593091843,-3.28281998634338,276,62,0,24,50.8534795365228,-3.2715117931366,274,242,0,North Hill Glider Field
320265,GB-0381,1185,0,GRS,0,0,2,51.2910631622999,-1.2490725517273,174,24,0,20,51.2940219264313,-1.24692678451538,193,204,0,Walkeridge Farm Airstrip
320267,GB-0382,2721,0,GRS,0,0,6,52.8260731713378,-2.21055865287781,100,56,0,24,52.8302089723136,-2.20028042793274,99,236,0,Seighford Glider Field
320275,GB-0383,2720,0,GRS,0,0,5,53.0407389183325,-3.22723388671875,351,49,0,23,53.0456766316104,-3.21793735027313,335,229,0,North Wales Gliding Club
320275,GB-0383,1203,0,GRS,0,0,7,53.0450251825604,-3.22578549385071,335,65,0,25,53.0464119187101,-3.22080731391907,329,245,0,North Wales Gliding Club
320276,GB-0384,2195,0,ASP,0,0,12,51.3056739797324,-0.100604295730591,165,123,0,30,51.3023805788704,-0.092546939849854,171,303,0,Kenley Aerodrome
320276,GB-0384,3266,0,ASP,0,0,2,51.3018640770539,-0.096259117126465,172,23,0,20,51.3101005820792,-0.09063720703125,166,203,0,Kenley Aerodrome
320282,GB-0385,2137,0,GRS,0,0,4,52.8173854109139,-1.90367102622986,125,37,0,22,52.822060160546,-1.89782381057739,128,217,0,Abbots Bromley Airfield
320284,GB-0387,1355,0,GRS,0,0,14,53.7168759404427,0.047383904457092,10,135,0,32,53.7142441705601,0.051814913749695,10,315,0,Hollym Airfield
320284,GB-0387,678,0,GRS,0,0,17,53.7158759507763,0.049599409103394,10,168,0,35,53.7140568609989,0.050259232521057,10,348,0,Hollym Airfield
320285,GB-0388,1431,0,GRS,0,0,11,52.3160413314059,-0.875247716903687,106,109,0,29,52.3147492690495,-0.869185924530029,97,289,0,Pitsford Water
320287,GB-0389,1518,0,GRS,0,0,5,52.3861233978541,0.056980848312378,6,53,0,23,52.3886247416643,0.06243109703064,6,233,0,Sutton Meadows Airfield
320287,GB-0389,1402,0,GRS,0,0,10,52.3863001990611,0.057388544082642,6,100,0,28,52.3856191831155,0.063589811325073,6,280,0,Sutton Meadows Airfield
320287,GB-0389,1636,0,GRS,0,0,1,52.384211280304,0.06217360496521,9,8,0,19,52.3886574808267,0.063149929046631,6,188,0,Sutton Meadows Airfield
320289,GB-0390,1434,0,GRS,0,0,7,51.7910656380141,-0.278059244155884,116,66,0,25,51.7926383703074,-0.272233486175537,118,246,0,Coleman Green Airstrip
320292,GB-0391,3036,0,CON,0,0,13,53.9288364578676,-0.801186561584473,26,129,0,31,53.9235993136083,-0.790200233459473,27,309,0,Pocklington Airfield
320292,GB-0391,3429,0,CON,0,0,0,53.9215586078579,-0.794470310211181,24,1,0,18,53.9309589251035,-0.794245004653931,27,181,0,Pocklington Airfield
320297,GB-0392,2273,0,GRS,0,0,11,51.7202558496244,-2.85272240638733,24,107,0,29,51.7184014295701,-2.84312009811401,25,287,0,South Wales Gliding Club
320305,GB-0393,3538,0,GRS,0,0,5,54.930526295209,-1.85243010520935,253,54,0,23,54.936209525349,-1.8387508392334,215,234,0,Currock Hill Glider Field
320365,GB-0394,2614,0,ASP,0,0,6,52.8594724461857,0.900267362594605,53,63,0,24,52.8626982561414,0.91086745262146,56,243,0,Little Snoring Airfield
320366,GB-0395,2747,0,GRS,0,0,9,52.2719850058706,-0.077043771743775,19,94,0,27,52.2715123144756,-0.064759254455566,17,274,0,Main Hall Farm Airfield
320366,GB-0395,1457,0,GRS,0,0,17,52.2756284995326,-0.070499181747437,18,166,0,35,52.2717486608032,-0.068932771682739,17,346,0,Main Hall Farm Airfield
320407,GB-0397,1408,0,GRS,0,0,5,51.1354096825952,-1.42176389694214,97,51,0,23,51.1378197298256,-1.41695737838745,88,231,0,Chilbolton
320408,GB-0398,1019,0,GRS,0,0,13,53.8524506575211,-2.79453992843628,29,133,0,31,53.8505457106545,-2.79107451438904,10,313,0,St Michaels
320408,GB-0398,1369,0,GRS,0,0,17,53.8527987281449,-2.79416441917419,29,170,0,35,53.849102703159,-2.793048620224,29,350,0,St Michaels
320408,GB-0398,1338,0,GRS,0,0,3,53.851260866985,-2.79467940330505,10,29,0,21,53.8544820833992,-2.79169678688049,29,209,0,St Michaels
320409,GB-0399,1102,0,GRS,0,0,9,51.5683008537672,-2.38890409469604,100,92,0,27,51.5682008210044,-2.38404393196106,100,272,0,Chase Farm Airstrip
320410,GB-0400,1962,0,GRS,0,0,5,58.8859950170334,-2.89573431015015,17,50,0,23,58.8894765031542,-2.88779497146606,16,230,0,Lamb Holm Airfield
320410,GB-0400,1102,0,GRS,0,0,14,58.8888778011981,-2.8939425945282,10,140,0,32,58.8865715930923,-2.89016604423523,14,320,0,Lamb Holm Airfield
320445,GB-0401,1262,0,GRS,0,0,1,51.9386231643547,-0.204008817672729,102,11,0,19,51.9420228288476,-0.202946662902832,102,191,0,Graveley Airstrip
320446,GB-0402,1750,0,GRS,0,0,8,57.5888764142136,-4.47043776512146,182,77,0,26,57.589980504288,-4.46172595024109,177,257,0,Knockbain Farm Airstrip
320448,GB-0403,1220,0,GRS,0,0,16,51.2346290354368,0.07940948009491,93,160,0,34,51.2314951334217,0.081276297569275,82,340,0,Crockham Hill Airfield
320449,GB-0404,2365,0,GRS,0,0,3,51.8319255951947,1.11166834831238,27,28,0,21,51.8376735278809,1.11652851104736,24,208,0,Norwood Lodge Airstrip
320465,GB-0406,1242,0,GRS,0,0,2,51.0902283261239,0.98800778388977,86,18,0,20,51.093462806585,0.989713668823242,80,198,0,Harringe Airfield
320467,GB-0407,1973,0,GRS,0,0,7,54.5838392631351,-1.07433199882507,23,72,0,25,54.5855428168156,-1.06546998023987,26,252,0,Yearby Airstrip
320479,GB-0408,2020,0,GRS,0,0,4,50.9223862662539,-0.477744340896606,37,43,0,22,50.92646427524,-0.471800565719605,26,223,0,Southdown Gliding Club
320499,GB-0409,2058,0,GRS,0,0,9,56.3249792054685,-3.75144481658936,38,93,0,27,56.3246579611994,-3.74128460884094,32,273,0,Skydive Strathallan
320500,GB-0410,938,0,GRS,0,0,17,54.38784242856,-6.4006519317627,25,170,0,35,54.3853059249241,-6.39992237091064,15,350,0,Tandragee Airstrip
320506,GB-0411,1613,0,GRS,0,0,15,52.4412575670478,-1.05054616928101,152,153,0,33,52.437300674367,-1.04730606079102,156,333,0,Husbands Bosworth Airfield
320506,GB-0411,4411,0,GRS,0,0,8,52.4379743522694,-1.05098605155945,156,82,0,26,52.4396094499711,-1.03133082389832,156,262,0,Husbands Bosworth Airfield
320507,GB-0412,2128,0,GRS,0,0,12,51.4838082471043,-1.56849145889282,214,124,0,30,51.4805343268617,-1.56073451042175,211,304,0,Membury Airfield
320507,GB-0412,2522,0,GRS,0,0,16,51.4836078097621,-1.5621292591095,212,163,0,34,51.476979518764,-1.55896425247192,206,343,0,Membury Airfield
320507,GB-0412,1970,0,GRS,0,0,4,51.4753423429099,-1.56107783317566,206,38,0,22,51.4796189234441,-1.55577778816223,207,218,0,Membury Airfield
320508,GB-0413,1505,0,GRS,0,0,9,55.6776146583058,-2.61255741119385,184,94,0,27,55.6772940366232,-2.60526180267334,174,274,0,Nether Huntlywood Airstrip
320508,GB-0413,1168,0,GRS,0,0,7,55.6760357223613,-2.61049747467041,170,67,0,25,55.6772940366232,-2.6052725315094,174,247,0,Nether Huntlywood Airstrip
320548,GB-0414,3008,0,GRS,0,0,1,51.8742521582267,-1.227046251297,77,10,0,19,51.8823789124713,-1.22477173805237,83,190,0,RAF Weston-on-the-Green
320548,GB-0414,3201,0,GRS,0,0,5,51.8755172996347,-1.22841954231262,78,50,0,23,51.88121330691,-1.21760487556458,78,230,0,RAF Weston-on-the-Green
320548,GB-0414,3256,0,GRS,0,0,9,51.8794913343025,-1.22556567192078,83,94,0,27,51.8788091499913,-1.21114611625671,75,274,0,RAF Weston-on-the-Green
320552,GB-0416,2036,0,ASP,0,0,5,52.0822950064787,-1.47443175315857,187,47,0,23,52.0861254802313,-1.46782279014587,187,227,0,Shenington Gliding Club
320552,GB-0416,1079,0,ASP,0,0,16,52.0884328358613,-1.47836923599243,193,163,0,34,52.0856046605997,-1.47695302963257,193,343,0,Shenington Gliding Club
320553,GB-0417,2099,0,GRS,0,0,6,51.7292809372913,-1.1479640007019,130,58,0,24,51.7323575619691,-1.1401104927063,121,238,0,Slay Barn private airstrip
320554,GB-0418,2985,0,GRS,0,0,7,51.1487777992198,-0.814125537872314,63,69,0,25,51.1517188037491,-0.801948308944702,64,249,0,Wishangar Farm private Airstrip
320610,GB-0419,948,0,GRS,0,0,6,52.1019779030381,-1.38389110565186,161,61,0,24,52.1032300373215,-1.38017892837524,160,241,0,Banbury Airfield
320610,GB-0419,2171,0,GRS,0,0,15,52.1021426595575,-1.38348340988159,165,146,0,33,52.097232654103,-1.37800097465515,157,326,0,Banbury Airfield
320611,GB-0420,4872,0,ASP,0,0,2,52.4502164900028,1.1501955986023,56,21,0,20,52.4626774792125,1.15809202194214,53,201,0,Norfolk Glider Club
320611,GB-0420,3888,0,ASP,0,0,14,52.4614681463237,1.15133285522461,54,141,0,32,52.4531588044015,1.16228699684143,57,321,0,Norfolk Glider Club
320611,GB-0420,2018,0,ASP,0,0,8,52.4540414603902,1.15302801132202,56,77,0,26,52.4552509972719,1.16189002990723,54,257,0,Norfolk Glider Club
320612,GB-0421,2701,0,GRS,0,0,2,52.2326161882583,-1.7244565486908,117,24,0,20,52.2393640433995,-1.71947836875916,116,204,0,Stratford-upon-Avon Gliding Club
320640,GB-0424,2120,0,GRS,0,0,3,51.6373908561546,0.200479030609131,80,25,0,21,51.6426775591166,0.204373598098755,67,205,0,Jenkins Farm Airstrip
320642,GB-0426,1493,0,GRS,0,0,5,52.7047609731301,1.19217753410339,43,47,0,23,52.7075692460828,1.19709134101868,41,227,0,Felthorpe Airfield
320642,GB-0426,1247,0,GRS,0,0,15,52.7073027279396,1.19317531585693,44,152,0,33,52.7042864091564,1.19583606719971,42,332,0,Felthorpe Airfield
320686,GB-0427,1776,0,GRS,0,0,8,53.6099681390347,-1.13807201385498,26,81,0,26,53.6107574153996,-1.12997174263,22,261,0,Askern Airfield
320687,GB-0428,1927,0,GRS,0,0,5,51.6627800436178,-1.12984299659729,50,52,0,23,51.666020900909,-1.12311601638794,50,232,0,Drayton St. Leonard
